sort_movement_completion+chinese			运动信息重排完毕
sort_movement_completion+english			Sort Movement Completion

save_movement_completion+chinese			运动信息保存完毕
save_movement_completion+english			Save Movement Completion


delete+chinese					删除
delete+english					has deleted
remain+chinese					剩余
remain+english					remained
records+chinese					个记录
records+english					records



movement_edit+chinese			运动编辑
movement_edit+english			Movement Edition
movement_inquiry+chinese		运动查询
movement_inquiry+english		Movement Inquiry



delete_buffer+chinese			删除
delete_buffer+english			delete
delete_buffer_content+chinese	删除右键提取缓存中的内容
delete_buffer_content+english	Delete Buffer Content 



click_to_locate_camera_on_parts+chinese			点击把相机定位到该运动信息指定的杆件
click_to_locate_camera_on_parts+english			click to locate camera on parts

edit_delete+chinese				删除
edit_delete+english				delete
edit_delete_title+chinese		点击删除该运动信息及其下层运动信息
edit_delete_title+english		click to delete movement

edit_follow+chinese				跟随
edit_follow+english				follow
edit_follow_title+chinese		点击使选中杆件和该运动信息同时运动
edit_follow_title+english		click to make movement following

edit_invert+chinese				倒排
edit_invert+english				invert
edit_invert_title+chinese		点击倒序重排该运动信息及其下层运动信息
edit_invert_title+english		click to make movement invert


edit_up+chinese					上移
edit_up+english					up
edit_up_title+chinese			点击该运动信息向上移动
edit_up_title+english			click to move movement upward

edit_down+chinese				下移
edit_down+english				down
edit_down_title+chinese			点击该运动信息向下移动
edit_down_title+english			click to move movement downward

edit_buffer+chinese				缓存
edit_buffer+english				buffer
edit_buffer_title+chinese		点击把该运动信息移入缓存。移入缓存后通过提取操作可以把该运动信息放置在其它位置
edit_buffer_title+english		click to make movement into buffer


edit_extract+chinese			提取
edit_extract+english			extract
edit_extract_title+chinese		点击把移入缓存的运动信息放置在下面
edit_extract_title+english		click to extract movement from buffer


edit_from_child+chinese			下层
edit_from_child+english			child
edit_from_child_title+chinese	点击把该运动信息的下层运动信息存放在此处
edit_from_child_title+english	click to extract movement from children


edit_tag+chinese				标签
edit_tag+english				tag
edit_tag_title+chinese			点击开始编辑该运动信息的标签、配音文件、说明信息
edit_tag_title+english			click to edit movement items


edit_right_button+chinese			右键
edit_right_button+english			right
edit_right_button_title+chinese		点击把选中杆件的运动信息保存在右键提取缓存中，该缓存中运动信息可以通过鼠标右键提取出来
edit_right_button_title+english		click to copy movement into right button buffer


edit_make_view+chinese				指定视角
edit_make_view+english				view
edit_make_view_title+chinese		点击指定该运动信息的观测视角
edit_make_view_title+english		click to make view

edit_delete_view+chinese			删除视角
edit_delete_view+english			view
edit_delete_view_title+chinese		点击删除该运动信息的观测视角
edit_delete_view_title+english		click to delete view



edit_modify_view_location_title+chinese		点击改变该运动信息的观测位置
edit_modify_view_location_title+english		click to modify view location

edit_view_start_location+chinese			观测起点
edit_view_start_location+english			start
edit_view_end_location+chinese				观测终点
edit_view_end_location+english				end
edit_view_start_end_location+chinese		观测起点终点
edit_view_start_end_location+english		start end
edit_view_parent_location+chinese			上层观测
edit_view_parent_location+english			parent


edit_locate_camera+chinese					定位
edit_locate_camera+english					locate
edit_locate_camera_title+chinese			点击把相机定位到该运动信息指定的杆件
edit_locate_camera_title+english			click to locate camera on parts

edit_select_component+chinese				组件
edit_select_component+english				component
edit_select_component_title+chinese			点击选中拼装杆件
edit_select_component_title+english			click to select movement components


edit_buffer_number+chinese		缓存数目
edit_buffer_number+english		buffer number

edit_save+chinese				保存
edit_save+english				save
edit_save_title+chinese			点击把运动信息保存到文件中
edit_save_title+english			click to save movement to file

edit_load+chinese				装入
edit_load+english				load
edit_load_title+chinese			重新装入运动信息
edit_load_title+english			click to load movement from file

edit_restore+chinese			恢复
edit_restore+english			restore
edit_restore_title+chinese		点击放弃对运动信息的修改,恢复以前的运动信息
edit_restore_title+english		click to restore movement


edit_sequence_mount+chinese				顺序拼装
edit_sequence_mount+english				sequence
edit_sequence_mount_title+chinese		点击设置顺序拼装
edit_sequence_mount_title+english		click to set sequence mount

edit_synchronous_mount+chinese			同步拼装
edit_synchronous_mount+english			synchronation
edit_synchronous_mount_title+chinese	点击设置同步拼装
edit_synchronous_mount_title+english	click to set synchronous mount
